"Age","StndL","Weight","Blubber.mass","BlubPercent","D1cm","L1cm","V1cm","D2cm","L2cm","V2cm","D3cm","L3cm","V3cm","D4cm","L4cm","V4cm","D5cm","L5cm","V5cm"
0.23,1.05,20.4,7.24,0.355,1.83,1.75,2.59,2.3,2.2,2.8,3.8,2.7,2.1,2.1,0.6,1.8,2.62,0.57,2.2
0.23,0.92,14.5,4.81,0.332,1.59,1.51,1.95,2,1.9,2.1,2.5,2.2,2.3,2.1,2,2.3,2.62,1.89,2.81
0.24,1.165,27,4.62,0.171,1.03,1.03,1.39,1.3,1.3,1.5,1.5,1.4,1.4,1.5,1.3,1.7,1.87,1.23,2.08
0.24,1.13,28,9.91,0.354,1.9,1.98,2.41,2.4,2.5,2.6,2.7,2.8,2.9,2.2,2.4,2.4,2.74,2.27,2.93
0.25,1.08,21,4.94,0.235,0.95,1.19,1.58,1.2,1.5,1.7,1.8,1.6,1.6,3,1.5,1.7,3.74,1.42,2.08
0.25,0.92,16.4,6.09,0.371,2.38,1.83,1.85,3,2.3,2,3,2.3,2.3,2.7,2.6,2.2,3.36,2.46,2.69
0.26,1.08,21.2,8.84,0.417,1.9,1.83,2.32,2.4,2.3,2.5,2.3,2.4,2,4.4,2.7,2.8,5.48,2.55,3.42
0.27,0.945,16.2,6.82,0.421,1.9,1.9,2.59,2.4,2.4,2.8,2.9,2.9,3.1,2.4,2.4,2.2,2.99,2.27,2.69
0.3,0.91,15.6,6.01,0.385,1.9,1.75,2.32,2.4,2.2,2.5,3,2.5,2.2,1.9,2.4,1.9,2.37,2.27,2.32
0.3,1.05,25.2,8.87,0.352,1.51,1.75,2.69,1.9,2.2,2.9,2.4,2.3,2.4,2.6,2.5,2.9,3.24,2.36,3.54
0.3,1.13,28,12.05,0.43,2.46,2.3,3.15,3.1,2.9,3.4,3.35,2.8,3,4,2.8,3.3,4.98,2.64,4.03
0.32,1.015,19,9.23,0.486,2.22,2.62,2.5,2.8,3.3,2.7,3.3,3.1,3.5,3.5,3.4,2.8,4.36,3.21,3.42
0.32,0.985,18,7.75,0.431,1.98,2.3,2.41,2.5,2.9,2.6,3.4,2.6,3.1,3.3,3.2,2.5,4.11,3.02,3.05
0.33,1.205,23.6,4.48,0.19,0.71,1.11,1.58,0.9,1.4,1.7,0.9,1.4,1.4,1.3,1.4,1.3,1.62,1.32,1.59
0.33,1.055,26.2,11.86,0.453,2.86,2.86,3.24,3.6,3.6,3.5,4,3.2,3.3,3.8,3.6,3.5,4.73,3.4,4.27
0.34,1.17,25.2,10.06,0.399,1.98,1.98,2.78,2.5,2.5,3,2.7,2.7,2.7,2.6,2.5,2.3,3.24,2.36,2.81
0.35,0.96,19.2,8.23,0.429,2.62,2.3,3.06,3.3,2.9,3.3,3.6,2.6,2.7,3.9,3.1,2.7,4.86,2.93,3.3
0.35,0.99,18.8,7.3,0.388,2.38,1.98,3.06,3,2.5,3.3,3.5,2.9,2.9,3.5,2.6,1.8,4.36,2.46,2.2
0.36,1.235,11.4,3.73,0.327,0.95,1.11,1.2,1.2,1.4,1.3,1.5,1.5,1.6,1.8,1.4,1.7,2.24,1.32,2.08
0.36,1.09,24.2,9.68,0.4,2.78,1.9,2.78,3.5,2.4,3,3.3,2.7,2.7,2.7,2.8,2.6,3.36,2.64,3.17
0.36,1,22.5,10.37,0.461,2.7,2.7,3.15,3.4,3.4,3.4,3.5,2.9,3.1,2.8,3.2,3.9,3.49,3.02,4.76
0.36,1.09,23.8,14.72,0.618,3.57,2.94,3.24,4.5,3.7,3.5,5,3.7,4.6,4.7,4.6,5,5.85,4.34,6.11
0.37,1.01,21.6,9.83,0.455,2.62,2.7,3.24,3.3,3.4,3.5,3.7,3,3.2,3.4,3,3.3,4.23,2.83,4.03
0.37,1.08,25.2,11.27,0.447,2.7,2.3,2.78,3.4,2.9,3,3.4,3.3,3.7,3.2,3,3,3.99,2.83,3.66
0.39,1.23,27,6.48,0.24,1.27,1.43,1.67,1.6,1.8,1.8,1.7,1.8,1.9,1.5,1.7,1.8,1.87,1.61,2.2
0.4,1.06,25.8,9.61,0.372,2.22,2.3,2.69,2.8,2.9,2.9,2.7,2.8,2.8,2.9,2.8,2.5,3.61,2.64,3.05
0.4,0.92,18,9.17,0.509,2.38,2.7,3.43,3,3.4,3.7,3.3,3.2,3.7,2.9,2.9,2.9,3.61,2.74,3.54
0.41,1.09,24.5,8.9,0.363,2.06,1.9,2.59,2.6,2.4,2.8,3.2,2.5,2.4,2.4,2.7,2.3,2.99,2.55,2.81
0.41,1.09,24.5,8.9,0.363,2.06,1.9,2.59,2.6,2.4,2.8,3.2,2.5,2.4,2.4,2.7,2.3,2.99,2.55,2.81
0.43,1.165,30,11.7,0.39,2.78,2.38,2.97,3.5,3,3.2,3.5,3,2.5,3,3,2,3.74,2.83,2.44
0.44,1.08,31,11.23,0.362,2.38,2.06,3.15,3,2.6,3.4,2.6,2.9,2.3,2.8,2.8,2.5,3.49,2.64,3.05
1.52,1.28,37.5,12.25,0.327,1.98,2.3,2.04,2.5,2.9,2.2,3,2.8,2.1,2.8,2.3,2.2,3.49,2.17,2.69
1.57,1.12,33.2,17.76,0.535,3.57,3.02,3.06,4.5,3.8,3.3,5.3,4,3.6,4.4,3.9,4.1,5.48,3.68,5.01
1.61,1.17,41,16.65,0.406,2.94,2.62,2.59,3.7,3.3,2.8,4.7,2.5,5.2,4,3.8,4.4,4.98,3.59,5.37
1.61,1.215,36.6,22.15,0.605,3.97,3.02,3.89,5,3.8,4.2,5,5.2,4.7,4.8,4.2,4.5,5.98,3.97,5.49
1.62,1.16,37.8,18.88,0.499,2.62,2.7,3.99,3.3,3.4,4.3,4.4,3.7,5,4.8,4.1,4.4,5.98,3.87,5.37
1.67,1.21,20.6,3.42,0.166,1.19,0.95,1.2,1.5,1.2,1.3,1.2,1.3,1,1,1.1,1,1.25,1.04,1.22
1.72,1.255,36.6,12.66,0.346,1.75,2.14,2.87,2.2,2.7,3.1,2.6,3,2.6,2,3,2,2.49,2.83,2.44
1.72,1.24,34.8,11.96,0.344,1.83,2.3,2.78,2.3,2.9,3,3,2.7,2.3,3.2,2.5,2,3.99,2.36,2.44
1.73,1.095,29,9.85,0.34,1.98,2.3,2.69,2.5,2.9,2.9,2.5,2.5,1.8,3.3,3,2.3,4.11,2.83,2.81
1.75,1.245,32.5,13.8,0.425,1.9,2.78,3.15,2.4,3.5,3.4,3.2,3.2,3,2.9,3.3,2.9,3.61,3.12,3.54
