"Salinity (g kg-1)","-5","-4","-3","-2","-1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35"
29,1023.25505074511,1023.28957128071,1023.30779368719,1023.3102612779,1023.29749188521,1023.26997864462,1023.22819077875,1023.17257438143,1023.1035532018,1023.02152942846,1022.9268844736,1022.81997975714,1022.70115749097,1022.57074146309,1022.42903782184,1022.27633586014,1022.11290879972,1021.93901457533,1021.75489661902,1021.56078464443,1021.356895431,1021.14343360828,1020.92059244023,1020.68855460946,1020.44749300159,1020.19757148948,1019.9389457176,1019.67176388627,1019.39616753604,1019.11229233197,1018.82026884795,1018.52022335103,1018.21227858573,1017.89655455841,1017.57316932155,1017.24223975812,1016.90388236589,1016.55821404179,1016.20535286622,1015.84541888742,1015.47853490581
30,1024.07936159666,1024.11000679718,1024.12450060673,1024.12338093902,1024.10716035609,1024.07632685225,1024.03134463822,1023.97265492516,1023.90067670881,1023.81580755359,1023.71842437677,1023.60888423266,1023.48752509674,1023.3546666499,1023.21061106266,1023.05564377935,1022.89003430241,1022.71403697656,1022.52789177314,1022.3318250743,1022.12605045732,1021.91076947886,1021.68617245926,1021.45243926682,1021.20974010211,1020.95823628227,1020.69808102527,1020.4294202343,1020.15239328202,1019.86713379489,1019.57377043751,1019.27242769694,1018.96322666699,1018.64628583259,1018.32172185411,1017.98965035168,1017.65018668956,1017.30344676042,1016.94954776973,1016.5886090201,1016.22075269557
31,1024.90377916941,1024.9305650758,1024.94134587642,1024.93665408537,1024.91699699427,1024.88285745629,1024.83469467021,1024.77294496451,1024.69802258151,1024.61032046145,1024.5102110267,1024.39804696589,1024.27416201813,1024.1388717572,1023.99247437574,1023.83525146954,1023.6674688217,1023.48937718696,1023.30121307589,1023.10319953919,1022.89554695194,1022.67845379793,1022.45210745387,1022.21668497375,1021.97235387309,1021.71927291327,1021.45759288583,1021.18745739677,1020.90900365086,1020.62236323599,1020.32766290747,1020.02502537232,1019.71457007367,1019.39641397503,1019.07067234464,1018.73745953982,1018.39688979126,1018.04907798742,1017.69414045882,1017.33219576242,1016.96336546594
32,1025.72831744508,1025.75125983738,1025.75834296355,1025.75009393803,1025.72701478203,1025.68958320756,1025.63825340144,1025.57345680949,1025.49560292057,1025.40508005075,1025.30225612746,1025.18747947368,1025.06107959213,1024.92336794944,1024.77463876043,1024.61516977228,1024.4452230488,1024.2650457547,1024.0748709398,1023.87491832332,1023.66539507819,1023.44649661527,1023.21840736768,1022.98130157505,1022.73534406789,1022.48069105181,1022.21749089189,1021.94588489696,1021.66600810391,1021.37799006204,1021.08195561735,1020.77802569687,1020.46631809302,1020.14694824787,1019.82003003755,1019.48567655654,1019.14400090202,1018.7951169582,1018.43914018065,1018.07618838069,1017.70638250967
33,1026.5529897445,1026.57210415417,1026.57550469877,1026.5637130931,1026.53722608796,1026.49651625413,1026.44203276652,1026.37420218823,1026.29342925467,1026.20009765772,1026.09457082989,1025.97719272848,1025.84828861981,1025.70816586338,1025.55711469613,1025.39540901668,1025.22330716953,1025.04105272933,1024.84887528517,1024.64699122481,1024.43560451897,1024.21490750561,1023.98508167423,1023.74629845015,1023.49871997882,1023.2424999101,1022.97778418261,1022.70471180799,1022.42341565526,1022.13402323512,1021.83665748427,1021.53143754974,1021.21847957322,1020.89789747539,1020.56980374023,1020.2343101994,1019.89152881654,1019.54157247161,1019.18455574527,1018.82059570316,1018.44981268029
34,1027.37780877805,1027.39311049933,1027.39284332477,1027.37752356949,1027.34764271384,1027.3036681874,1027.24604415313,1027.1751922914,1027.09151258418,1026.99538409913,1026.88716577384,1026.76719719992,1026.63579940728,1026.49327564829,1026.33991218203,1026.17597905851,1026.00173090292,1025.81740769989,1025.62323557773,1025.41942759274,1025.20618451344,1024.9836956049,1024.75213941299,1024.51168454869,1024.2624904724,1024.00470827824,1023.73848147835,1023.4639467872,1023.18123490593,1022.89047130663,1022.59177701671,1022.2852694032,1021.97106295705,1021.64927007753,1021.3200018565,1020.98336886278,1020.63948192648,1020.28845292332,1019.93039555901,1019.56542615354,1019.19366442559
35,1028.20278669091,1028.21429079143,1028.21037053986,1028.19153685165,1028.15827593668,1028.11105008333,1028.05029844257,1027.97643781207,1027.8898634203,1027.79094971076,1027.68005112603,1027.55750289209,1027.4236218024,1027.2787070022,1027.1230407727,1026.9568893153,1026.78050353589,1026.59411982903,1026.3979608623,1026.1922363605,1025.97714388998,1025.75286964287,1025.51958922143,1025.27746842232,1025.02666402087,1024.76732455545,1024.49959111173,1024.223598107,1023.9394740745,1023.64734244775,1023.34732234483,1023.03952935277,1022.72407631182,1022.40107409981,1022.07063241648,1021.73286056781,1021.38786825037,1021.03576633565,1020.67666765441,1020.310687781,1019.93794581773
36,1029.02793510379,1029.0356564343,1029.02809753715,1029.00576392808,1028.9691365465,1028.91867253956,1028.85480604626,1028.77794898152,1028.68849182035,1028.58680438201,1028.47323661415,1028.34811937704,1028.21176522773,1028.0644692043,1027.90650961008,1027.73814879787,1027.55963395424,1027.37119788371,1027.17305979308,1026.96542607569,1026.74849109567,1026.52243797225,1026.28743936406,1026.04365825341,1025.79124873061,1025.53035677824,1025.2611210555,1024.98367368251,1024.69814102462,1024.40464447674,1024.10330124767,1023.79422514441,1023.47752735648,1023.15331724031,1022.82170310351,1022.48279298921,1022.13669546046,1021.7835203845,1021.42337971713,1021.05638828706,1020.68266458026
37,1029.85326514958,1029.85721835309,1029.84603503989,1029.820215326,1029.78023488036,1029.72654570888,1029.65957693855,1029.57973560156,1029.48740741943,1029.3829575872,1029.26673155754,1029.13905582503,1029.0002387103,1028.85057114426,1028.69032745236,1028.51976613881,1028.33913067082,1028.14865026288,1027.94854066103,1027.7390049271,1027.52023422303,1027.29240859514,1027.05569775843,1026.81026188087,1026.5562523677,1026.29381264576,1026.02307894776,1025.74418109664,1025.45724328986,1025.16238488373,1024.85972117775,1024.54936419889,1024.23142348597,1023.90600687399,1023.57322127842,1023.23317347957,1022.88597090694,1022.53172242353,1022.1705391102,1021.80253505,1021.42782811255
38,1030.67878750657,1030.67898702681,1030.66419333346,1030.63490114279,1030.59158085325,1030.5346793295,1030.46462068653,1030.38180707376,1030.28661945924,1030.17941841375,1030.060544895,1029.93032103187,1029.78905090854,1029.63702134878,1029.47450270013,1029.30174961819,1029.11900185085,1028.92648502255,1028.72441141853,1028.51298076915,1028.29238103414,1028.06278918692,1027.82437199883,1027.57728682351,1027.32168238114,1027.0576995428,1026.78547211471,1026.50512762265,1026.21678809616,1025.92057085298,1025.61658928326,1025.30495363399,1024.98577179327,1024.65915007465,1024.32519400148,1023.98400909124,1023.63570163988,1023.28037950617,1022.91815289601,1022.54913514681,1022.17344351181
39,1031.50451242859,1031.50097251795,1031.48258229439,1031.44983107444,1031.40318398602,1031.34308275254,1031.26994647696,1031.18417242597,1031.08613681409,1030.97619558786,1030.85468521002,1030.72192344372,1030.57821013672,1030.4238280056,1030.25904342003,1030.08410718698,1029.899255335,1029.70470989847,1029.50067970186,1029.28736114404,1029.06493898254,1028.83358711783,1028.59346937765,1028.34474030126,1028.08754592381,1027.82202456058,1027.54830759136,1027.26652024469,1026.97678238225,1026.67920928316,1026.37391242827,1026.06100028456,1025.74057908939,1025.4127536349,1025.0776280523,1024.73530659623,1024.38589442911,1024.02949840545,1023.66622785621,1023.29619537315,1022.91951759315
40,1032.33044977237,1032.32318449932,1032.30121141675,1032.26501444145,1032.21505343082,1032.15176496698,1032.07556314089,1031.98684033644,1031.88596801465,1031.77329749781,1031.64916075368,1031.51387117967,1031.36772438712,1031.21099898541,1031.04395736633,1030.86684648822,1030.67989866029,1030.48333232685,1030.27735285161,1030.06215330193,1029.83791523312,1029.60480947274,1029.36299690489,1029.11262925448,1028.8538498716,1028.58679451575,1028.31159214025,1028.02836567645,1027.73723281814,1027.43830680582,1027.13169721105,1026.81751072076,1026.49585192162,1026.16682408433,1025.83052994796,1025.48707250432,1025.13655578229,1024.77908563213,1024.41477050984,1024.04372226154,1023.66605690777
