"waterTemperature","swimSpeed","mass","storageLevel","meanThermo","sdThermo"
-5,0.47,80,0.12,43924.8681907135,61015.3491317345
-5,0.47,80,0.2,-183031.716586335,38439.9217658578
-5,0.47,80,0.36,-337939.322977337,17808.7720201789
-5,0.47,80,0.68,-434966.035994767,10724.7986143913
-5,0.47,90,0.05,853533.33381262,142227.279668798
-5,0.47,90,0.0525,804496.776079335,140477.910890051
-5,0.47,90,0.055,733911.33298297,120893.680113441
-5,0.47,90,0.06,606468.617085642,117269.694386207
-5,0.47,90,0.08,318631.632027903,90078.962330841
-5,0.47,90,0.12,13835.8505764347,46372.3874561525
-5,0.47,90,0.2,-231106.259070652,34021.5722457336
-5,0.47,90,0.36,-390923.530017955,21032.2445389308
-5,0.47,90,0.68,-483009.789391161,9063.4603884427
-5,0.94,10,0.05,921915.118648426,107188.012575856
-5,0.94,10,0.0525,865796.913945524,94171.1930716192
-5,0.94,10,0.055,832066.16595695,87147.6659780428
-5,0.94,10,0.06,746731.161093789,85789.9399504081
-5,0.94,10,0.08,546544.059459714,75486.7232167723
-5,0.94,10,0.12,323117.051865458,47561.0337422261
-5,0.94,10,0.2,147482.364986198,28897.1057268229
-5,0.94,10,0.36,29667.9442455969,13651.7289495292
-5,0.94,10,0.68,-40221.9269676432,7517.62965505077
-5,0.94,20,0.05,970172.097039738,99925.4862321909
-5,0.94,20,0.0525,895565.71375085,115375.559359556
-5,0.94,20,0.055,845952.869218983,103051.969380046
-5,0.94,20,0.06,785535.582889711,112893.778806447
-5,0.94,20,0.08,543278.856532246,64041.8607733314
-5,0.94,20,0.12,280157.170887033,51345.4982630943
-5,0.94,20,0.2,96837.7834891857,30304.9315498489
-5,0.94,20,0.36,-31433.6010377,16087.2547849397
-5,0.94,20,0.68,-110128.119311508,8582.69592064414
-5,0.94,30,0.05,957801.247780669,116613.221561249
-5,0.94,30,0.0525,903522.646143092,128569.67937777
-5,0.94,30,0.055,850755.307034552,105566.293154214
-5,0.94,30,0.06,754737.532765302,96437.7754594304
-5,0.94,30,0.08,504154.846288888,84620.3865201164
