"Salinity (g kg-1)","-5","-4","-3","-2","-1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35"
20,0.00222273568983983,0.00213955730710652,0.00206131027949323,0.00198759599747453,0.00191805663398643,0.00185237011238655,0.00179024579820752,0.00173142079632976,0.00167565675679975,0.00162273710978688,0.00157246466404989,0.00152465951449623,0.0014791572135215,0.00143580716824201,0.00139447123181949,0.00135502246208452,0.00131734402480464,0.00128132822237601,0.00124687563157772,0.00121389433641738,0.00118229924410173,0.00115201147385297,0.00112295780971596,0.00109507020970785,0.00106828536468666,0.00104254430118807,0.00101779202322596,0.000993977188690797,0.000971051816528957,0.000948971021358364,0.000927692772583669,0.000907177675426939,0.000887388771595739,0.000868291357576264,0.000849852818770708,0.000832042477900027,0.00081483145626994,0.000798192546652738,0.000782100096673329,0.000766529901707424,0.000751459106404984
21,0.00222657256070925,0.00214328561260131,0.00206493565509367,0.00199112364767068,0.00192149137531521,0.00185571641121541,0.00179350780401661,0.00173460237112193,0.00167876150116732,0.00162576838608157,0.00157542561703435,0.00152755308979908,0.00148198617417077,0.00143857410951249,0.0013971785945965,0.00135767254491887,0.00131993899480968,0.0012838701250982,0.00124936639995451,0.00121633579892226,0.00118469313216337,0.00115435942862492,0.00112526138826409,0.00109733089067474,0.00107050455348511,0.0010447233347702,0.00101993217446878,0.000996079670434836,0.000973117785302444,0.00095100158081589,0.000929688976685313,0.000909140531381059,0.000889319242586234,0.000870190365293034,0.000851721245760138,0.00083388116975069,0.000816641223647218,0.000799974167194744,0.000783854316759366,0.000768257438109141,0.000753160647829476
22,0.00223044545578349,0.00214704825031502,0.00206859378013106,0.00199468256462939,0.00192495599268581,0.00185909127999039,0.00179679715169801,0.00173781013177077,0.00168189134203565,0.00162882373128364,0.00157840966864366,0.00153046884670053,0.00148483644894875,0.00144136154361592,0.00139990567198765,0.00136034160438459,0.00132255224108959,0.0012864296389637,0.00125187414735552,0.00121879363930316,0.00118710282603742,0.00115672264448517,0.00112757970889936,0.00109960581895128,0.00107273751764737,0.00104691569330788,0.00102208522059229,0.000998194636196336,0.000975195845395684,0.000953043856084544,0.000931696537366231,0.000911114400106177,0.000891260397164417,0.000872099741290967,0.000853599738899472,0.000835729638136953,0.00081846048984448,0.000801765020158713,0.000785617513640365,0.000769993705935355,0.000754870685079916
23,0.00223435437506254,0.00215084522024766,0.00207228465460538,0.00199827274835067,0.0019284504860982,0.00186249471871147,0.00180011384125172,0.00174104407827626,0.00168504627940472,0.00163190314539307,0.00158141681887783,0.00153340678520057,0.00148770803785546,0.00144416947055233,0.00140265246399294,0.0013630296404817,0.00132518376364435,0.00128900676397253,0.00125439887378075,0.00122126785756008,0.0011895283257239,0.00115910112143371,0.00112991277162174,0.00110189499453747,0.00107498425717342,0.00104912137680111,0.00102425116159651,0.0010003220859753,0.000977285996808675,0.000955097847164326,0.000933715454626424,0.000913099281602293,0.000893212235330286,0.000874019485570063,0.000855488298188712,0.000837587883058815,0.000820289254861725,0.000803565105544645,0.000787389687316325,0.000771738705186067,0.000756589218156306
24,0.0022382993185464,0.00215467652239923,0.00207600827851665,0.00200189419883451,0.0019319748555524,0.00186592672737867,0.00180345787267774,0.00174430421063842,0.00168822631327455,0.00163500662840987,0.00158444706773684,0.00153636690529921,0.00149060094089088,0.0014469978903217,0.00140541897061237,0.00136573665321018,0.00132783356247396,0.00129160150012468,0.00125694057923021,0.00122375845369301,0.00119196963122279,0.00116149485947056,0.00113226057643124,0.0011041984174333,0.00107724477206328,0.00105134038524989,0.00102642999748142,0.00100246201977172,0.000979388239541418,0.000957163554055237,0.00093574572846589,0.000915095175869407,0.000895174757083843,0.000875949598130322,0.000857386923627857,0.000839455904516276,0.000822127518698953,0.00080537442335254,0.000789170837787248,0.000773492435861276,0.000758316247058646
25,0.00224228028623508,0.00215854215676973,0.00207976465186487,0.00200554691608092,0.00193552910104841,0.00186938730599198,0.00180682924597607,0.00174759052885724,0.00169143144364513,0.00163813418033404,0.00158750041522071,0.00153934920699644,0.00149351515805501,0.00144984680292403,0.00140820519184593,0.00136846264257004,0.00133050163757843,0.00129421384742014,0.00125949926370388,0.00122626542770197,0.0011944267425341,0.00116390385859571,0.00113462312332787,0.00110651608763878,0.00107951906231694,0.00105357271865423,0.00102862172824704,0.0010046144375856,0.000981502573593912,0.000959240976757277,0.000937787358884631,0.000917102082907519,0.000897147962425086,0.000877890078971744,0.000859295615216908,0.000841333702509336,0.000823975281356165,0.000807192973582398,0.000790960965053132,0.000775254897960982,0.000760051771786935
26,0.00224629727812856,0.00216244212335915,0.00208355377465003,0.00200923090008989,0.00193911322258623,0.00187287645455141,0.00181022796114671,0.00175090303293272,0.00169466167051645,0.00164128580116558,0.00159057686132943,0.00154235369029227,0.00149645068934787,0.00145271620835934,0.00141101112769363,0.00137120760856128,0.00133318798895775,0.00129684380585892,0.00126207492720178,0.00122878877958695,0.00119689965965784,0.00116632811880915,0.00113700041231162,0.00110884800515391,0.00108180712793439,0.00105581837701412,0.00103082635389336,0.00100677933941694,0.000983628998966159,0.000961330115270445,0.000939840345882645,0.000919120002716628,0.000899131851354017,0.000879840928094329,0.000861214372955864,0.000843221277037995,0.000825832542833361,0.000809020756234218,0.000792760069113977,0.000777026091485186,0.000761795792341173
27,0.00225035029422686,0.0021663764221675,0.00208737564687213,0.00201294615086142,0.00194272722016584,0.00187639417305695,0.00181365401818967,0.00175424172286486,0.00169791699388853,0.00164446149090449,0.001593676406063,0.00154538035518669,0.00149940753476944,0.0014556061066276,0.00141383677815547,0.00137397155118391,0.00133589261661193,0.00129949137544103,0.0012646675697239,0.00123132850934795,0.00119938838259399,0.0011687676401109,0.00113939244338249,0.00111119416997869,0.00108410896891565,0.00105807736032956,0.00103304387442037,0.00100895672526575,0.000985767515658157,0.000963430969594741,0.000941904689459934,0.000921148935296736,0.000901126423870634,0.000881802145498077,0.000863143196844725,0.000845118628102254,0.000827699303130539,0.000810857771308001,0.000794568149969785,0.000778806016433888,0.000763548308721361
28,0.00225443933452998,0.00217034505319478,0.00209123026853118,0.00201669266839551,0.00194637109378727,0.0018799404615086,0.00181710741710493,0.00175760659865367,0.00170119741376135,0.00164766124955077,0.00159679904942142,0.0015484292016797,0.00150238569431972,0.00145851649772884,0.00141668214323144,0.00137675447043791,0.00133861552054097,0.00130215655616645,0.00126727719127024,0.00123388461698497,0.00120189291134257,0.00117122242250094,0.00114179921654049,0.00111355458211312,0.00108642458526071,0.00106034966860055,0.00103527428982809,0.00101114659513201,0.000987918123669906,0.000965543539730166,0.000943980389616497,0.000923188880647841,0.000903131679974938,0.000883773731182989,0.000865082086883492,0.000847025755702111,0.000829575562247702,0.000812704018803747,0.000796385207620555,0.000780594672807087,0.000765309320927498
29,0.0022585643990379,0.00217434801644098,0.00209511763962717,0.00202047045269217,0.0019500448434505,0.00188351531990637,0.00182058815789251,0.00176099766029913,0.00170450293013493,0.00165088507710441,0.0015999447914047,0.00155150022977131,0.00150538516799873,0.00146144738166303,0.00141954722292155,0.00137955636632329,0.00134135670074486,0.00130483934803519,0.0012699037918408,0.00123645710249801,0.00120441324590356,0.00117369246597929,0.0011442207317856,0.00111592924155719,0.00108875397696957,0.00106263530182709,0.00103751760011652,0.00101334894901574,0.000990080823001408,0.00096766782567672,0.000946067446352334,0.000925239838769945,0.000905147619666929,0.000885755685149064,0.000867031043072164,0.000848942659837568,0.000831461320184848,0.000814559498721456,0.000798211242066286,0.000782392060604783,0.000767078828959584
